TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,Y
66.33,66.4,67.38,67.3,67.76,67.6,68.38,68.3,69.17,70.03,68.15,68.75,9.87E-47,1.28E-46,1.39E-46,3.65E-46,1.36E-46,9.91E-47,7.80E-47,3.13E-46,1.68E-45,4.76E-46,1.68E-45,3.87E-45,3.10E-45,0.4,0,66.9,66.9,67,67,0,82.5,15.6,72.3,5.3,0,0,0,0,0,23.27,1,29,106.3,88.9,62.1,0,0.7,0,0,0,100,100,57,56,0,68.46,71.14,69.34,71.9,1.15E-45,7.30E-46,1.49E-45,cf1
67.97,68.3,68.04,68.1,68.01,67.8,68.17,67.6,68.02,68.02,68.15,68.38,1.811,1.679,0.04198,0.1737,0.599,1.01,2.103,3.712,1.68E-45,2.106,1.68E-45,268.4,214.1,0.5,0.1,67.6,67.8,67.7,68,0,83.7,16.1,72.3,4.8,0,0,0,-2.851,-44.77,23.27,6,0,108.6,88.9,63.6,0,0,0.2,0,0,100,100,57,56,30,62.89,66.71,68.61,68.63,10.55,50.47,244.1,cf1
68.01,68.1,67.99,67.6,67.35,66.8,67.52,67.2,67.12,67.33,67.99,68.1,1.795,4.388,2.311,-0.2819,0.1321,-0.08595,1.009,0.791,1.68E-45,0.4643,1.68E-45,266.1,214.6,0.8,0,67,67,66.6,66.5,0,81.3,14.3,73.1,6.5,0,0,0,-2.794,-44.28,23.27,6,0,110.9,88.7,62.6,0,0.4,0.3,0,0,100,100,57,56,30,59.21,63.81,68.24,68.22,22.9,24.22,264,cf1
67.52,67.5,67.5,67.3,66.74,66.5,66.94,66.5,66.51,66.67,67.45,67.61,2.269,4.886,1.874,-0.7424,0.1312,-0.4529,1.377,0.7929,1.68E-45,0.4613,1.68E-45,268.4,214.9,0.9,0,66.3,66.1,66,65.6,0,79.9,13.6,73.8,7.8,0,0,0,-4.463,-55.93,23.27,15,0,112.2,88.9,135,68,0,0.3,0,0,100,100,57,56,30,58.47,63.03,67.79,67.73,25.73,33.05,257.6,cf1
66.58,66.2,64.6,62.8,67.76,68.4,70.18,72,68.84,67.82,66.47,66.58,26.98,14.95,11.4,0.6308,17.68,16.73,1.007,0.05859,35.97,1.729,2.034,268.3,214.3,4.4,0,58.4,55.4,71.2,73,0,65.1,6.8,105.9,35.1,17.7,42,40,3.266,3.443,10.89,20,0,109.6,89.9,162.3,105.6,3.4,3.4,60,30,100,59.49,50.93,56,20,58.27,64.18,66.76,66.74,60.74,24.17,-125.5,cf1
65.31,64.5,60.38,59.4,71.41,72.8,75.58,77.8,74.29,70.28,64.87,65.19,46.92,14.57,45.06,-12.71,44.41,40.5,2.862,-1.048,42.73,3.654,0.9622,269.8,216.3,9,0.1,50.3,45.8,77.9,83.4,5.9,59.4,9.1,122.7,45.1,37.6,49,47,33.91,20.55,9.926,20,0,108.6,92.3,158.8,111.2,5,5.3,60,30,100,56.44,50.53,56,20,58.23,68.72,67.75,66.38,33.33,50.18,27.28,cf1
63.79,63.1,56.9,56,75.13,76.7,80.86,83,79.49,72.57,63.28,63.72,64.51,15.52,77.85,-28.86,61.99,57.35,3.961,-0.6765,52.46,4.155,0.8463,270.2,215.8,6.8,1.9,49.2,44.6,84.9,95.3,6.8,55.2,6.1,120.7,35.5,49.7,60,58,43.6,19.23,8.641,20,0,108.6,94.8,163.8,117.9,6.5,7.1,60,30,100,53.39,50.12,56,20,58.19,72.73,66.39,65.11,25.6,73.85,71.14,cf1
62.44,62,54.36,53.6,78.57,79.5,85.41,87.3,84.03,74.45,61.97,62.45,76.03,15.33,106.5,-45.82,72.77,68.5,4.335,0.05964,63.03,4.059,0.8662,266.9,216.1,6.8,3.2,46.8,42.1,90.5,105.2,7.7,52.2,5.6,118.8,28.3,64,74,71,51.56,19.29,7.328,20,0,109.4,97.3,164.2,121.5,7.6,8.6,60,30,100,50.34,49.71,56,20,58.19,76.25,65.04,63.8,20.37,83.49,95.29,cf1
61.29,61.1,52.52,52.2,81.64,82.5,89.3,90.7,87.92,75.8,60.9,61.38,85.27,15.36,135,-65.05,79.4,75.84,4.354,0.8009,69.35,4.025,0.8735,267.3,217.1,7.4,3.6,44.8,40,94.3,112.7,8.2,50,5.2,119.7,25.4,72.6,81,78,48.71,16.25,6.677,20,0,109.8,99.6,165.7,125.1,8.4,8.9,60,30,100,47.29,49.31,56,20,58.19,79.24,63.94,62.69,17.5,83.86,117.1,cf1
61.13,61.6,52.07,52.2,83.81,84.3,91.92,92.8,90.42,76.87,60.66,61.42,89.71,16.62,150,-76.87,81.24,76.98,6.883,2.628,72.29,3.951,0.8899,265.6,215.1,8.6,3.9,43.6,38.8,96.7,117.6,8.3,49.3,5.8,122,25.5,78.9,85,81,42.52,13.48,6.406,20,0,110.3,101.5,166.7,127.1,8.6,9.4,35,0,100,46,49,56,22,58.19,81.33,65.08,63.67,17.23,117.2,129.3,cf1
61.42,61.4,52.19,52.2,84.84,84.9,93.15,93.5,91.4,77.56,61.15,61.55,91.95,19.33,153.1,-80.47,82.7,80.28,3.58,1.161,73.07,3.98,0.8835,265.5,215.1,9.6,4,42.6,37.7,97.5,119.1,8.3,49,6.4,124,26.2,80.9,86,82,40.56,12.55,6.317,20,0,111.1,103.3,165.2,127,8.7,9.2,35,0,100,46,49,56,27,58.15,80.96,62.87,62.36,20.33,85.93,126.3,cf1
61.25,61.4,52.03,51.9,85.08,84.9,93.68,93.9,91.77,77.69,61.11,61.38,94.68,21.05,155.1,-81.46,82.44,81.13,2.472,1.157,76.19,3.805,0.9241,264.3,214.4,8.9,4.1,42.8,37.9,98,120.1,8.6,48.5,5.7,124.7,26.7,82.7,90,86,33.15,9.959,5.964,20,0,111.8,104.7,164.2,125.5,9,9.3,50,0,100,46,49,56,27,58.1,80.72,62.63,62.04,22.34,59.33,126.1,cf1
61.01,60.9,51.62,51.4,85.12,84.9,93.93,94.1,91.85,77.61,60.82,61.14,97.11,22.89,157.2,-82.96,84.54,82.84,2.858,1.166,77.62,3.829,0.9182,264.8,216,8.8,4.1,42.6,37.7,98.2,120.6,8.7,48,5.6,124.7,26.8,83.6,92,88,33.4,9.783,5.791,20,0,112.4,105.9,165.7,127.5,9.2,9.5,50,0,100,46,49,56,27,58.06,80.35,62.5,61.83,24.65,68.6,125.2,cf1
